seq,artifact_name,role,source_path,copied_path,sha256_or_hash,notes
010,010_constituicao_v2.md,"Regra suprema: estados do Master, regras CEP autorizadas, precedência e política de defesa/venda.",/home/wilson/CEP_NA_BOLSA/docs/00_constituicao/CEP_NA_BOLSA_CONSTITUICAO_V2_20260204.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/010_constituicao_v2.md,5275db11038fe6cb380ab21d0d0c02326961922a62e0bd5fbf79f060f0b2b7e3,
020,020_ssot_base_summary.md,Mapa/índice do que é SSOT e onde está no repositório.,/home/wilson/CEP_NA_BOLSA/outputs/governanca/decisoes/20260208/ssot_base_summary.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/020_ssot_base_summary.md,1f5e97a0bc259e9378ee25fc76303e5da276fb493b261c27359eaee78b5df9f1,
030,030_ssot_base_summary_manifest.json,Manifesto do SSOT base para localizar paths canônicos a copiar.,/home/wilson/CEP_NA_BOLSA/outputs/governanca/decisoes/20260208/ssot_base_summary_manifest.json,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/030_ssot_base_summary_manifest.json,2fa3459f623d70ddadfb5d43b60aa2c9111ccf32b21a1ea6de0cb3c12605e11b,
040,040_master_baseline_definition.md,Definição de baseline do Master e parâmetros associados (referência conceitual/operacional).,/home/wilson/CEP_NA_BOLSA/outputs/governanca/decisoes/20260208/master_baseline_definition.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/040_master_baseline_definition.md,01c30b373302ad4e8b070c79cb2db017644ecf055d8398e5ed07eea39ed8f683,
050,050_decision_package_sizing_v2.md,Justificativa da escolha de sizing e critérios aplicados (inclui guardrail).,/home/wilson/CEP_NA_BOLSA/outputs/experimentos/fase1_calibracao/cal/20260209/decision_package_sizing_v2/decision_package.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/050_decision_package_sizing_v2.md,af0a8b8ac4b83a850dfe7f4bffd7b1f83ad0fcf7cbe094014cc4979e6a7e826f,
060,060_selected_config_sizing_v2.json,Parâmetros operacionais vigentes: w_base/w_def/w_cap/persist_on/persist_off.,/home/wilson/CEP_NA_BOLSA/outputs/experimentos/fase1_calibracao/cal/20260209/decision_package_sizing_v2/selected_config.json,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/060_selected_config_sizing_v2.json,6fe5b0308d177c07dcedc5baa85eb51b55090d1d34ecfa7e72c20fc1e426a2f1,
070,070_guardrail_verdict_aud039.json,Evidência formal de PASS do guardrail de MDD (-12%).,/home/wilson/CEP_NA_BOLSA/outputs/experimentos/fase1_calibracao/aud/20260209/verify_mdd_guardrail_v2/guardrail_verdict.json,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/070_guardrail_verdict_aud039.json,b62d420e5330f3b688a222ee918e48ae52147728a0da1efc9f1dac19b69061e2,
080,080_mdd_recalc_notes_aud039.md,"Definições oficiais aplicadas (história inteira, inclui preservação_total; mdd negativo) e reconciliação.",/home/wilson/CEP_NA_BOLSA/outputs/experimentos/fase1_calibracao/aud/20260209/verify_mdd_guardrail_v2/mdd_recalc_notes.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/080_mdd_recalc_notes_aud039.md,0f3c916d0bd5e13e6d1b9d53ae7962f1945890d9338b81c5d2aad2c2b5305aba,
090,090_patch_summary_w_base.md,Mudança operacional: Opção A (M_target=10; w_base<=0.10; caixa explícito; sem renormalização).,/home/wilson/CEP_NA_BOLSA/outputs/experimentos/fase1_calibracao/fix/20260209/patch_sizing_w_base/patch_summary.md,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/090_patch_summary_w_base.md,dd89a59b9aad9a236f9fbdcd75546255888fae1e750662f9f62416721e86e72b,
100,100_ssot_acoes_b3.csv,SSOT universo ações (csv).,/home/wilson/CEP_NA_BOLSA/outputs/ssot/acoes/b3/20260204/ssot_acoes_b3.csv,/home/wilson/CEP_NA_BOLSA/outputs/governanca/operacao_rotina/20260209/ROTINA_GESTAO_CARTEIRA_001/artefatos/100_ssot_acoes_b3.csv,38c8fe38f3280da9a97bbe618f0307012049cdddb3683ec0e46a837dbf99cf59,
